DLiP-ID,C003ET
AATSC7v,0.6781568544705995
AATSC8Z,-2.617836165246187
AATSC8c,-0.00010506501682673624
AATSC8d,-0.06115628901796863
AATSC8i,-0.17447998250236843
AATSC8m,-11.935398491393517
AATSC8p,-0.05443569182639336
AATSC8s,0.05532318075876456
AATSC8v,-9.623747434643313
ATS0are,395.77850000000007
ATS1are,401.654
ATS2are,664.3810000000001
ATS3are,816.118
ATS4are,890.328
ATS5are,936.581
ATS6are,889.8000000000001
ATS7are,791.9598
ATS8are,613.393
ATSC0dv,236.57094017094013
ATSC0pe,8.652913846153844
ATSC0se,6.014159938461537
ATSC1dv,72.05664694280078
ATSC1pe,-0.666398248520704
ATSC1se,-0.5408844932544374
ATSC2dv,70.7517422748192
ATSC2pe,1.6661396449704162
ATSC2se,1.275342734911242
ATSC3dv,28.066245890861268
ATSC3pe,-0.1874403786982263
ATSC3se,-0.2760757760946751
ATSC4dv,16.5466929651545
ATSC4pe,0.6668258698224806
ATSC4se,0.10809112946745457
ATSC5dv,0.4038658777120321
ATSC5pe,4.625025017751479
ATSC5se,3.9567386871005907
ATSC6dv,-143.35026955950033
ATSC6pe,-3.2094029349112403
ATSC6se,-1.6885015031952657
ATSC7dv,-86.58332675871138
ATSC7pe,-1.7412496094674619
ATSC7se,-1.0873517914792905
ATSC8dv,-31.395029585798806
ATSC8pe,-1.1611355266272247
ATSC8se,-0.553873850650888
AXp-0dv,0.6430255350117847
AXp-1dv,0.3786496747704525
AXp-2dv,0.22700548805680965
AXp-3dv,0.1359492024656515
AXp-4dv,0.08050113984831798
AXp-5dv,0.04836728069603915
AXp-6dv,0.030108708155305194
AXp-7dv,0.02159587161798484
BertzCT,674.4504853205478
ECIndex,5800000000
GATS1dv,0.5978944173880372
GATS1pe,0.8750000444492328
GATS1se,0.8931280602713806
GATS2dv,0.776208112017468
GATS2pe,0.685816689358404
GATS2se,0.6498837355949247
GATS3dv,0.8525757396019686
GATS3pe,0.7655357750797479
GATS3se,0.7494102579905906
GATS4dv,0.8523623138673605
GATS4pe,0.7068399091156928
GATS4se,0.689194353709809
GATS5dv,0.961699952199614
GATS5pe,0.6629228159123015
GATS5se,0.5844782678557576
GATS6dv,1.2156022152704054
GATS6pe,1.0914567003229663
GATS6se,1.0473770662082407
GATS7dv,1.060394455076285
GATS7pe,0.9419627245891514
GATS7se,0.9016386265015021
GATS8dv,0.7969799825600967
GATS8pe,0.7244014672611918
GATS8se,0.6296960156047127
MATS1dv,0.30934709055305865
MATS1pe,-0.07821766553872224
MATS1se,-0.0913404064877699
MATS2dv,0.1767243587806618
MATS2pe,0.11378098527754134
MATS2se,0.12530621463264488
MATS3dv,0.055478088156813876
MATS3pe,-0.010129764055054167
MATS3se,-0.021466037549190943
MATS4dv,0.029714726572546823
MATS4pe,0.0327394957624609
MATS4se,0.007635491663721155
MATS5dv,0.0007067884924505685
MATS5pe,0.22129184560370785
MATS5se,0.272380554813309
MATS6dv,-0.2608396011502624
MATS6pe,-0.15966079048746934
MATS6se,-0.1208545171482604
MATS7dv,-0.17114784262593832
MATS7pe,-0.09410164355919277
MATS7se,-0.08454611525594363
MATS8dv,-0.07913823489987964
MATS8pe,-0.08002162976347833
MATS8se,-0.05491901598571041
MAXaaCH,2.013386952003023
MAXaasC,1.0340896636432353
MAXdsCH,0.5578703703703702
MAXdssC,-1.2570370370370367
MAXsCH3,2.2080291946026906
MAXssNH,3.218118750048591
MDEC-11,1.4064346500246336
MDEC-12,0.19384452073306804
MDEC-13,0.13556573370460118
MDEC-22,0.013088800015679102
MDEC-23,0.04314656928494752
MDEC-33,0.006643770074048717
MDEO-11,0.002885399811814426
MDEO-12,1.4426999059072123e-06
MINaaCH,1.8708522297808012
MINaasC,0.3821680786512134
MINdsCH,0.5578703703703702
MINdssC,-1.2570370370370372
MINsCH3,1.7030908289241622
MINssNH,3.218118750048591
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SddssSe,0
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,141.39
TpiPC10,7.23507864920601
VAdjMat,5.857980995127572
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.0
Xch-6dv,0.020833333333333332
Xch-7dv,0.055365771386354914
Xpc-4dv,1.807914324150317
Xpc-5dv,2.325983288010062
Xpc-6dv,3.147806618845843
Zagreb1,130.0
Zagreb2,141.0
fragCpx,29.08
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,0
n5aRing,0
n6ARing,0
n6FRing,0
n6HRing,0
n6aRing,1
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,0
nBondsA,6
nBondsD,3
nBondsM,9
nBondsO,29
nBondsS,55
nBondsT,0
nFARing,0
nFHRing,0
nFaRing,0
nHetero,8
naHRing,0
AATS0are,6.088900000000001
AATS1are,6.27584375
AATS2are,6.0398272727272735
AATS3are,5.871352517985612
AATS4are,5.81913725490196
AATS5are,5.965484076433121
AATS6are,5.89271523178808
AATS7are,5.697552517985612
AATS8are,5.6274587155963305
AATSC0dv,3.6395529257067714
AATSC0pe,0.1331217514792899
AATSC0se,0.09252553751479288
AATSC1dv,1.1258851084812622
AATSC1pe,-0.010412472633136
AATSC1se,-0.008451320207100585
AATSC2dv,0.6431976570438108
AATSC2pe,0.015146724045185602
AATSC2se,0.011594024862829472
AATSC3dv,0.20191543806375012
AATSC3pe,-0.0013484919330807648
AATSC3se,-0.0019861566625516192
AATSC4dv,0.10814832003368953
AATSC4pe,0.004358339018447586
AATSC4se,0.00070647797037552
AATSC5dv,0.0025723941255543447
AATSC5pe,0.029458758074850187
AATSC5se,0.02520215724267892
AATSC6dv,-0.9493395335066247
AATSC6pe,-0.02125432407225987
AATSC6se,-0.011182129160233548
AATSC7dv,-0.6229016313576359
AATSC7pe,-0.012526975607679581
AATSC7se,-0.007822674758843816
AATSC8dv,-0.28802779436512665
AATSC8pe,-0.01065261951034151
AATSC8se,-0.005081411473861358
ATSC0are,9.23357538461538
ATSC1are,-0.7629342248520642
ATSC2are,1.876730887573967
ATSC3are,-0.3852058224852104
ATSC4are,0.4239717869822416
ATSC5are,5.621568686390531
ATSC6are,-2.9504551242603547
ATSC7are,-1.8398965917159855
ATSC8are,-0.872080260355039
BalabanJ,8.897726295396691e-07
Diameter,100000000
GATS1are,0.8812350212202159
GATS2are,0.669978629526927
GATS3are,0.7570469800202322
GATS4are,0.6990957101982175
GATS5are,0.6246006097373575
GATS6are,1.0649576656731676
GATS7are,0.9235435113576792
GATS8are,0.6668094000341327
HybRatio,0.5454545454545454
Lipinski,True
MATS1are,-0.08391712200740904
MATS2are,0.1201027009001387
MATS3are,-0.01950839318947777
MATS4are,0.019506932637575906
MATS5are,0.25205848780781687
MATS6are,-0.13754839389752674
MATS7are,-0.093179863968836
MATS8are,-0.05632139664404471
MAXssCH2,1.2469981225451103
MAXsssCH,0.4501049895904691
MINssCH2,0.8446135676492819
MINsssCH,0.2759642547841499
NsssssAs,0
RotRatio,0.41379310344827586
SMR_VSA1,29.64551950646581
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,5.917906046161393
SMR_VSA5,50.84706598952907
SMR_VSA6,26.455079536614086
SMR_VSA7,29.848225842287977
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
SsssssAs,0
VMcGowan,356.5900000000012
mZagreb1,13.88888888888889
mZagreb2,7.277777777777778
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,0
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,6
nBondsKS,58
nFAHRing,0
nFaHRing,0
nG12Ring,0
AATSC0are,0.1420550059171597
AATSC1are,-0.011920847263313503
AATSC2are,0.017061189887036064
AATSC3are,-0.0027712649099655424
AATSC4are,0.002771057431256481
AATSC5are,0.03580616997700975
AATSC6are,-0.019539437909008972
AATSC7are,-0.013236666127453132
AATSC8are,-0.008000736333532469
LabuteASA,183.07896796634338
PEOE_VSA1,25.373233742328495
PEOE_VSA2,0.0
PEOE_VSA3,9.589074368143644
PEOE_VSA4,0.0
PEOE_VSA5,11.761884949391115
PEOE_VSA6,33.61285484492389
PEOE_VSA7,37.2719873954346
PEOE_VSA8,30.178154157438726
PEOE_VSA9,12.005281016795308
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,6
nAromBond,6
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
PEOE_VSA10,11.49902366656781
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
SlogP_VSA1,10.05365155780638
SlogP_VSA2,53.7132722970399
SlogP_VSA3,9.589074368143644
SlogP_VSA4,5.917906046161393
SlogP_VSA5,51.51503400570829
SlogP_VSA6,29.180257826108754
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,30
EState_VSA1,11.938610575903699
EState_VSA2,5.917906046161393
EState_VSA3,23.81945809311306
EState_VSA4,28.50605681315804
EState_VSA5,19.26246486877803
EState_VSA6,18.871682490668647
EState_VSA7,19.18040611960041
EState_VSA8,26.088000203078202
EState_VSA9,14.94991774348146
GhoseFilter,True
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
TopoPSA(NO),116.08999999999999
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,76.23271284748466
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
EState_VSA10,14.69560176298435
FilterItLogS,-4.207996110760657
PetitjeanIndex,0.0
TopoShapeIndex,0.0
CDK Descriptors
FMFDescriptor,0.2
MDEDescriptor,"1.4064346500246336,0.11620673721592142,0.07623421436090595,0.0,0.005345778296195262,0.0187860363523819,0.0,0.002476527561785402,0.0,0.0,0.0011486983554565137,2.2865252614658498E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
APolDescriptor,70.869755
BCUTDescriptor,"11.99614143622798,31.972072535685967,-0.3602865176808501,0.3028954875147789,3.697468750000006,11.582018862901386"
BPolDescriptor,45.034245
TPSADescriptor,141.39000000000001
ALOGPDescriptor,"1.0186999999999966,1.0377496899999932,115.54620000000001"
XLogPDescriptor,4.750999999999999
VAdjMaDescriptor,5.857980995127573
WeightDescriptor,441.2185091199999
ChiPathDescriptor,"23.104083527755577,14.170340175395125,11.951876573511184,7.949487278807968,5.944559690823631,4.842797459729663,2.6223418736867763,1.6859345321937425,19.290766050353543,10.980840568343122,8.172197570045148,5.43796809862606,3.783553572870944,2.6602004382821534,1.5054354077652594,1.0581977092812576"
ChiChainDescriptor,"0.0,0.0,0.0,0.05555555555555555,0.16619799064237337,0.0,0.0,0.0,0.020833333333333332,0.055365771386354914"
AtomCountDescriptor,65
BondCountDescriptor,29
SmallRingDescriptor,"1,1,1,1,0,0,0,1,0,0,0"
ChiClusterDescriptor,"1.9910310349658176,0.0,0.37119669724178084,0.0,0.9401790350356767,0.0,0.21505506188200993,0.0"
RuleOfFiveDescriptor,1
CarbonTypesDescriptor,"0,0,2,7,1,5,3,2,0"
ZagrebIndexDescriptor,130.0
LargestChainDescriptor,14
MannholdLogPDescriptor,3.0
WeightedPathDescriptor,"57.501390884602934,1.9167130294867645,20.657088088961686,14.856405559817702,2.7368027046291834"
FractionalPSADescriptor,0.3204534648421688
WienerNumbersDescriptor,"1.76000001035E11,37.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"3.4215579506620526,4.756702109099494,7.140593392157912,1.8079143241503177,2.3259832880100624,2.851311346449247"
FractionalCSP3Descriptor,0.5454545454545454
KierHallSmartsDescriptor,"0,0,0,0,0,0,5,0,5,0,2,2,2,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,1
HBondDonorCountDescriptor,4
LargestPiSystemDescriptor,8
PetitjeanNumberDescriptor,0.999000000999
AcidicGroupCountDescriptor,2
KappaShapeIndicesDescriptor,"30.0,17.54320987654321,13.23"
AromaticAtomsCountDescriptor,6
AromaticBondsCountDescriptor,6
FragmentComplexityDescriptor,3226.08
HBondAcceptorCountDescriptor,5
HybridizationRatioDescriptor,0.5454545454545454
AutocorrelationDescriptorMass,"41.134547552972165,34.996578115394804,45.38121143498179,47.886946725865165,48.55140256935861"
PetitjeanShapeIndexDescriptor,"999.000999000999,NaN"
RotatableBondsCountDescriptor,12
AutocorrelationDescriptorCharge,"0.688862987622222,-0.3569848601548162,0.05851449332611369,0.08558105498052052,-0.3711437376129202"
EccentricConnectivityIndexDescriptor,-2129542202
AutocorrelationDescriptorPolarizability,"1816.3212260173425,2000.7672122486817,2553.9987231064174,2698.0742154973896,2472.812835457652"
