DLiP-ID,C000RF
MATS1dv,0.3256723754349263
MATS1pe,0.11037817859040484
MATS1se,0.07240998752808318
MATS2dv,-0.344629094552636
MATS2pe,-0.30050679426149307
MATS2se,-0.32638170189668314
MATS3dv,-0.18050970203796132
MATS3pe,-0.2535667463742603
MATS3se,-0.10853693785848817
MATS4dv,0.1049575908330955
MATS4pe,0.15677910127005687
MATS4se,0.12063379223745647
MATS5dv,-0.008117379602821858
MATS5pe,0.02551918110481607
MATS5se,0.0341532258961277
MATS6dv,-0.009700077478285695
MATS6pe,0.024912971122097463
MATS6se,0.0316650061739964
MATS7dv,0.03690158218814988
MATS7pe,0.07208306428560324
MATS7se,0.11047202606820454
MATS8dv,0.04055058006769153
MATS8pe,0.17724558948442695
MATS8se,0.15143130124914303
MAXsCH3,2.2698838655832705
MDEC-11,3.041821709466029
MDEC-12,8.694222387063823
MDEC-22,7.473424936522629
MINsCH3,2.2698838655832705
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SddssSe,0
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,0.0
TpiPC10,4.68213122712422
VAdjMat,4.700439718141093
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.0
Xch-6dv,0.0
Xch-7dv,0.0
Xpc-4dv,1.5
Xpc-5dv,1.5606601717798214
Xpc-6dv,1.1035533905932737
Zagreb1,62.0
Zagreb2,60.0
fragCpx,71.04
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,0
n5aRing,0
n6ARing,0
n6FRing,0
n6HRing,0
n6aRing,0
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,0
nBondsA,0
nBondsD,0
nBondsM,0
nBondsO,13
nBondsS,43
nBondsT,0
nFARing,0
nFHRing,0
nFaRing,0
nHetero,4
naHRing,0
AATS0are,5.5231521739130445
AATS1are,5.991860465116279
AATS2are,5.8345
AATS3are,5.524923076923077
AATS4are,5.163000000000002
AATS5are,5.327636363636363
AATS6are,5.331399999999997
AATS7are,5.340011111111108
AATS8are,5.351249999999997
AATSC0dv,1.0174436846704575
AATSC0pe,0.061868809073723934
AATSC0se,0.030273455576559524
AATSC1dv,0.331353301657892
AATSC1pe,0.0068289664571151605
AATSC1se,0.0021921005407306553
AATSC2dv,-0.3506406958062775
AATSC2pe,-0.018591997479521154
AATSC2se,-0.00988070195337113
AATSC3dv,-0.18365845636026978
AATSC3pe,-0.015687872618874492
AATSC3se,-0.003285788166674743
AATSC4dv,0.10678843795135892
AATSC4pe,0.009699736283227178
AATSC4se,0.0036520017503325498
AATSC5dv,-0.008258976612963886
AATSC5pe,0.001578841343491649
AATSC5se,0.0010339361669626243
AATSC6dv,-0.009869282571095919
AATSC6pe,0.0015413358538122457
AATSC6se,0.0009586091577399632
AATSC7dv,0.03754528175168094
AATSC7pe,0.004459693341734955
AATSC7se,0.003344369973628316
AATSC8dv,0.04125793159959648
AATSC8pe,0.010965973534971663
AATSC8se,0.004584348771266534
ATSC0are,2.280991304347824
ATSC1are,0.3944603024574628
ATSC2are,-1.5768884688090776
ATSC3are,-1.3882474480151217
ATSC4are,1.1568045368620115
ATSC5are,0.09087958412098539
ATSC6are,0.07679092627599456
ATSC7are,0.3876022684310035
ATSC8are,0.7326136105860123
BalabanJ,-8.449997741250619e-07
Diameter,100000000
GATS1are,1.2156281367741235
GATS2are,2.243103684896727
GATS3are,0.9322363802395366
GATS4are,0.45407889018504527
GATS5are,0.7071686119411364
GATS6are,0.7384289439374184
GATS7are,0.6975037550416675
GATS8are,0.636976343237494
HybRatio,1.0
Lipinski,True
MATS1are,0.1849988589921771
MATS2are,-0.378578453957581
MATS3are,-0.23928486177165245
MATS4are,0.14400553026779717
MATS5are,0.0185125113760266
MATS6are,0.01720685895529834
MATS7are,0.09650181758418501
MATS8are,0.20519968434776686
MAXssCH2,1.3983333333333334
MAXssssN,1.1064814814814814
MINssCH2,1.3098958333333333
MINssssN,1.1064814814814814
NsssssAs,0
RotRatio,0.5384615384615384
SMR_VSA1,42.92896341964182
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,25.683286491704038
SMR_VSA6,55.37554470788828
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
SsssssAs,0
VMcGowan,256.6199999999996
mZagreb2,3.0
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,0
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,0
nBondsKS,43
nFAHRing,0
nFaHRing,0
nG12Ring,0
AATSC0are,0.04958676748582226
AATSC1are,0.009173495405987506
AATSC2are,-0.018772481771536637
AATSC3are,-0.011865362803548048
AATSC4are,0.007140768746061799
AATSC5are,0.0009179755971816706
AATSC6are,0.0008532325141777173
AATSC7are,0.004785213190506216
AATSC8are,0.010175189035916837
LabuteASA,123.71862882468463
PEOE_VSA1,42.92896341964182
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,25.683286491704038
PEOE_VSA8,0.0
PEOE_VSA9,55.37554470788828
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,0
nAromBond,0
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
SlogP_VSA1,33.962901704252566
SlogP_VSA2,64.34160642327753
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,25.683286491704038
SlogP_VSA6,0.0
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,16
EState_VSA1,0.0
EState_VSA2,33.962901704252566
EState_VSA3,0.0
EState_VSA4,8.966061715389248
EState_VSA5,38.77279930352919
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,42.286031896063136
EState_VSA9,0.0
GhoseFilter,False
SlogP_VSA10,0.0
SlogP_VSA11,0.0
TopoPSA(NO),0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,2.212962962962963
VSA_EState9,21.787037037037038
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
EState_VSA10,0.0
FilterItLogS,-6.406095359411022
PetitjeanIndex,0.0
TopoShapeIndex,0.0
CDK Descriptors
FMFDescriptor,0.0
MDEDescriptor,"3.041821709466029,8.694222387063823,0.0,0.0,7.473424936522629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
APolDescriptor,49.423790000000004
BCUTDescriptor,"11.993387270355448,78.91933752044118,-0.38420117959571876,0.009972267594577776,3.499000000000003,8.940754271477116"
BPolDescriptor,38.076209999999996
TPSADescriptor,0.0
XLogPDescriptor,2.666
VAdjMaDescriptor,4.700439718141093
WeightDescriptor,360.0775734
ChiPathDescriptor,"11.242640687119287,6.207106781186548,7.035533905932739,2.603553390593274,1.6642135623730954,1.051776695296637,0.6553300858899107,0.40625,15.26240552495637,7.742640687119286,9.363961030678928,3.371320343559643,2.2071067811865475,1.4356601717798214,0.926776695296637,0.5928300858899107"
ChiChainDescriptor,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
AtomCountDescriptor,46
BondCountDescriptor,13
SmallRingDescriptor,"0,0,0,0,0,0,0,0,0,0,0"
ChiClusterDescriptor,"3.121320343559643,0.7071067811865475,0.0,0.0,4.414213562373095,1.0,0.0,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,0,0,0,2,4,0,0"
ZagrebIndexDescriptor,62.0
LargestChainDescriptor,10
MannholdLogPDescriptor,2.3400000000000003
WeightedPathDescriptor,"28.035955251152544,1.752247203197034,8.411647725461016,0.0,6.411647725461015"
FractionalPSADescriptor,0.0
WienerNumbersDescriptor,"2.9000000364E10,11.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"1.5,1.5606601717798212,1.1035533905932737,2.1213203435596424,2.2071067811865475,1.5606601717798214"
FractionalCSP3Descriptor,1.0
KierHallSmartsDescriptor,"0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,4
HBondDonorCountDescriptor,0
LargestPiSystemDescriptor,0
PetitjeanNumberDescriptor,0.999000000999
AcidicGroupCountDescriptor,2
KappaShapeIndicesDescriptor,"21.301775147928993,9.074074074074074,21.05785123966942"
AromaticAtomsCountDescriptor,0
AromaticBondsCountDescriptor,0
FragmentComplexityDescriptor,1609.04
HBondAcceptorCountDescriptor,0
HybridizationRatioDescriptor,1.0
AutocorrelationDescriptorMass,"103.23614218518377,14.329455465443566,18.332363866360893,11.33236386636089,10.33236386636089"
PetitjeanShapeIndexDescriptor,"999.000999000999,NaN"
RotatableBondsCountDescriptor,7
AutocorrelationDescriptorCharge,"0.23057936972233117,-0.17513413057949426,0.05271075026634281,0.006958782091058707,0.0017161974486260801"
EccentricConnectivityIndexDescriptor,230196198
AutocorrelationDescriptorPolarizability,"822.97566909887,815.1333719916839,968.7694201980523,645.1743883893436,578.2715510968022"
