DLiP-ID,J100HM
GATS2pe,0.7232385689569945
GATS2se,0.6183603870772689
GATS3dv,0.7074001385361347
GATS3pe,0.6833565906685788
GATS3se,0.5776959531206407
GATS4dv,0.760311475409836
GATS4pe,0.6453584095402867
GATS4se,0.6138967448314087
GATS5dv,1.1809443743869974
GATS5pe,1.0687423238526184
GATS5se,1.1104875049266971
GATS6dv,1.7226147540983605
GATS6pe,1.3865170755066736
GATS6se,1.4040491136026447
GATS7dv,1.836806431273644
GATS7pe,1.596882090930264
GATS7se,1.5662275168702258
GATS8dv,1.7937130302518165
GATS8pe,1.3671212435853661
GATS8se,1.227953443458872
MATS1dv,0.5490103217972069
MATS1pe,0.22098469681990604
MATS1se,0.204598548925664
MATS2dv,0.31220179941491427
MATS2pe,0.19672240821462336
MATS2se,0.24754454289879146
MATS3dv,0.1623634948733079
MATS3pe,0.08844667485884121
MATS3se,0.11259979595626349
MATS4dv,0.2194632665452337
MATS4pe,0.21309451309935656
MATS4se,0.15804897912028865
MATS5dv,0.11377329410116298
MATS5pe,0.077963452349266
MATS5se,-0.005994186412450165
MATS6dv,-0.19372070431086819
MATS6pe,-0.1309045477014316
MATS6se,-0.16789218865805708
MATS7dv,-0.400678389612816
MATS7pe,-0.34791868274458915
MATS7se,-0.32644080855772367
MATS8dv,-0.5873371766222876
MATS8pe,-0.36861071899954534
MATS8se,-0.28178411721526114
MAXaaCH,2.0120481107196477
MAXaaaC,0.634633907575376
MAXaasC,0.9284873918703286
MAXaasN,1.8421901471259403
MAXsCH3,2.119904445784735
MDEC-11,0.5129927840030091
MDEC-12,3.185193117820734
MDEC-13,2.857093353450393
MDEC-22,7.692542516258697
MDEC-23,10.92891022258409
MDEC-33,4.266788761738145
MDEN-22,4.023580535599607
MDEN-23,4.837970321995926
MDEN-33,0.6850067105944414
MINaaCH,2.0120481107196477
MINaaaC,0.634633907575376
MINaasC,0.7546839645076477
MINaasN,1.8165536029226506
MINsCH3,1.9781378041217508
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SddssSe,0
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,141.72
TpiPC10,8.859368442925131
VAdjMat,6.0
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.0423606797749979
Xch-6dv,0.2036993301600264
Xch-7dv,0.2322115767489606
Xpc-4dv,2.1710838013279483
Xpc-5dv,2.888481662108856
Xpc-6dv,3.6525315626623636
Zagreb1,152.0
Zagreb2,176.0
fragCpx,154.12
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,2
n5aRing,2
n6ARing,1
n6FRing,0
n6HRing,1
n6aRing,1
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,1
n9HRing,0
n9aRing,0
nAHRing,0
nBondsA,15
nBondsD,0
nBondsM,15
nBondsO,32
nBondsS,45
nBondsT,0
nFARing,0
nFHRing,1
nFaRing,1
nHetero,12
naHRing,3
AATS0are,6.082072413793105
AATS1are,6.43131
AATS2are,6.207811818181815
AATS3are,5.862345070422533
AATS4are,5.791253999999998
AATS5are,6.220528205128207
AATS6are,6.605854000000002
AATS7are,6.521866346153846
AATS8are,6.25477835051546
AATSC0dv,3.505747126436782
AATSC0pe,0.09621878715814501
AATSC0se,0.053065292806183086
AATSC1dv,1.9246913580246907
AATSC1pe,0.021262879508521747
AATSC1se,0.010857081906460538
AATSC2dv,1.0945005611672283
AATSC2pe,0.018928391525240566
AATSC2se,0.013136023651497119
AATSC3dv,0.5692053555903323
AATSC3pe,0.008510231783088499
AATSC3se,0.005975141142335593
AATSC4dv,0.7693827160493826
AATSC4pe,0.020503695600475533
AATSC4se,0.008386915354736435
AATSC5dv,0.3988603988603989
AATSC5pe,0.007501548827708205
AATSC5se,-0.00031808325711151213
AATSC6dv,-0.6791358024691356
AATSC6pe,-0.012595476813317286
AATSC6se,-0.008909248151010732
AATSC7dv,-1.4046771130104467
AATSC7pe,-0.033476313683343806
AATSC7se,-0.017322677090002764
AATSC8dv,-2.059055619193077
AATSC8pe,-0.03546727631562806
AATSC8se,-0.014952956688159649
ATSC0are,5.398758620689652
ATSC1are,1.501366944114157
ATSC2are,2.1261991676575573
ATSC3are,0.9251047562425607
ATSC4are,2.6735104637336367
ATSC5are,0.915414506539842
ATSC6are,-0.9917079667062789
ATSC7are,-3.0792499405469456
ATSC8are,-3.451285969084411
BalabanJ,2.5599957580073596e-06
Diameter,100000000
GATS1are,0.6532751782018853
GATS2are,0.7956783691130667
GATS3are,0.726749815401954
GATS4are,0.6955598988273165
GATS5are,1.1821285913059882
GATS6are,1.5433447919061851
GATS7are,1.73958500075172
GATS8are,1.4887571914861335
HybRatio,0.6666666666666666
Lipinski,True
MATS1are,0.26882501724534524
MATS2are,0.2076564100420167
MATS3are,0.06999010619245426
MATS4are,0.19148057024603274
MATS5are,0.08405547596166212
MATS6are,-0.10654127385605645
MATS7are,-0.3180868280948739
MATS8are,-0.3822463038072493
MAXssCH2,1.3818381438273488
MAXsssCH,0.7845886558350134
MAXsssNH,1.3560228297454702
MINssCH2,0.7685740699963284
MINsssCH,0.7845886558350134
MINsssNH,1.3560228297454702
NsssssAs,0
RotRatio,0.25
SMR_VSA1,17.306942892030456
SMR_VSA2,0.0
SMR_VSA3,39.78929167856704
SMR_VSA4,5.917906046161393
SMR_VSA5,60.911434662543925
SMR_VSA6,26.392953978013743
SMR_VSA7,11.760295063310071
SMR_VSA8,0.0
SMR_VSA9,0.0
SsssssAs,0
VMcGowan,340.860000000001
mZagreb2,6.333333333333334
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,2
n6AHRing,0
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,1
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,1
n9FaRing,1
n9aHRing,0
nBondsKD,6
nBondsKS,54
nFAHRing,0
nFaHRing,1
nG12Ring,0
AATSC0are,0.09308204518430434
AATSC1are,0.02502278240190262
AATSC2are,0.01932908334234143
AATSC3are,0.006514822227060286
AATSC4are,0.01782340309155758
AATSC5are,0.007824055611451641
AATSC6are,-0.00991707966706279
AATSC7are,-0.029608172505259094
AATSC8are,-0.0355802677225197
LabuteASA,190.75011298039433
PEOE_VSA1,17.306942892030456
PEOE_VSA2,0.0
PEOE_VSA3,9.665781456092393
PEOE_VSA4,9.499376414562832
PEOE_VSA5,10.197363616602075
PEOE_VSA6,31.024349818169142
PEOE_VSA7,53.9383087008665
PEOE_VSA8,11.44678160159525
PEOE_VSA9,27.18485677717953
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,1
nAromAtom,14
nAromBond,15
nG12ARing,0
nG12FRing,0
nG12HRing,0
nG12aRing,0
PEOE_VSA10,5.025959978669241
PEOE_VSA11,0.0
PEOE_VSA12,10.312872963641414
PEOE_VSA13,5.777653723919194
SlogP_VSA1,17.306942892030456
SlogP_VSA2,66.18224565658078
SlogP_VSA3,6.544756405912575
SlogP_VSA4,12.841643245852017
SlogP_VSA5,37.79803610947851
SlogP_VSA6,21.405200010772262
SlogP_VSA7,0.0
SlogP_VSA8,5.777653723919194
SlogP_VSA9,0.0
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,0
nG12FHRing,0
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,30
EState_VSA1,0.0
EState_VSA2,12.407033161179976
EState_VSA3,5.777653723919194
EState_VSA4,45.79303340189245
EState_VSA5,48.76590279487165
EState_VSA6,11.761884949391115
EState_VSA7,22.187305096913043
EState_VSA8,39.58875300685958
EState_VSA9,5.098681808301038
GhoseFilter,False
SlogP_VSA10,0.0
SlogP_VSA11,0.0
TopoPSA(NO),91.12
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,3.6587437500485906
VSA_EState9,50.08767057204441
nBridgehead,0
nG12FAHRing,0
nG12FaHRing,0
EState_VSA10,0.0
FilterItLogS,-5.537757809048093
PetitjeanIndex,0.0
TopoShapeIndex,0.0
CDK Descriptors
FMFDescriptor,0.7666666666666667
MDEDescriptor,"0.5129927840030091,3.185193117820734,2.857093353450393,0.0,7.692542516258697,10.92891022258409,0.0,4.266788761738145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.023580535599607,4.837970321995926,0.6850067105944414"
APolDescriptor,68.23020399999997
BCUTDescriptor,"11.988305926303156,34.968854564212386,-0.3585513873616944,0.23232544789712364,2.3429952459465326,12.38186587970701"
BPolDescriptor,43.08979599999999
TPSADescriptor,141.71999999999997
XLogPDescriptor,4.130999999999999
VAdjMaDescriptor,6.0
WeightDescriptor,469.15976180000007
ChiPathDescriptor,"20.216967702877938,14.080520035918413,12.837368546382237,10.107527366827128,8.623747962601154,6.775291701628158,4.903238116669263,3.5819114538852594,20.155249875582196,12.844270228264763,10.797796019831049,7.510858487188897,5.59680651041304,4.210426814176694,2.7550840504400065,1.794494712202849"
ChiChainDescriptor,"0.0,0.0,0.21407617506269555,0.5159226138816979,0.7041827172267776,0.0,0.0,0.0423606797749979,0.20369933016002642,0.2322115767489606"
AtomCountDescriptor,58
BondCountDescriptor,32
SmallRingDescriptor,"4,3,3,2,0,0,2,2,0,0,0"
ChiClusterDescriptor,"1.9079211456771603,0.0,0.21941609682128765,0.0,1.4790687542505254,0.0,0.08408517252140153,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,1,2,0,4,5,1,0"
ZagrebIndexDescriptor,152.0
LargestChainDescriptor,17
MannholdLogPDescriptor,2.12
WeightedPathDescriptor,"60.64737513794755,2.0215791712649183,35.93364271700713,0.0,28.641441806218673"
FractionalPSADescriptor,0.30207194124293707
WienerNumbersDescriptor,"2.9000002453E10,40.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"3.6327640829392607,5.783671251708699,7.59666283382318,2.290656957196998,2.9539137186572346,3.465390908301031"
FractionalCSP3Descriptor,0.6666666666666666
KierHallSmartsDescriptor,"0,0,0,0,0,0,3,0,8,0,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,3
HBondDonorCountDescriptor,1
LargestPiSystemDescriptor,9
PetitjeanNumberDescriptor,0.999000000999
AcidicGroupCountDescriptor,3
KappaShapeIndicesDescriptor,"24.638671875,11.743801652892563,6.75"
AromaticAtomsCountDescriptor,14
AromaticBondsCountDescriptor,15
FragmentComplexityDescriptor,2730.12
HBondAcceptorCountDescriptor,6
HybridizationRatioDescriptor,0.6666666666666666
AutocorrelationDescriptorMass,"53.208278696237116,42.27942715466362,62.25471013813694,61.51903997848564,58.26411080828132"
PetitjeanShapeIndexDescriptor,"999.000999000999,NaN"
RotatableBondsCountDescriptor,8
AutocorrelationDescriptorCharge,"0.4216097258100343,-0.3238750869223021,0.17837795513046872,-0.05125725610561237,-0.01889136935675035"
EccentricConnectivityIndexDescriptor,-424509504
AutocorrelationDescriptorPolarizability,"2344.1238714360597,2727.5049669463297,3746.5564277876715,3534.370129086856,3341.3730088900697"
