DLiP-ID,C003KG
GATS4dv,0.9897927017845348
GATS4pe,0.767287167134483
GATS4se,0.6818478029655499
GATS5dv,1.0469983359645008
GATS5pe,0.7962328074876229
GATS5se,0.7163349897370742
GATS6dv,1.1318769467081966
GATS6pe,0.9828433511588236
GATS6se,0.9018161644295267
GATS7dv,1.0907752698724242
GATS7pe,1.0501585930628725
GATS7se,1.0075747601381035
GATS8dv,1.3143503251878899
GATS8pe,1.7984534173838636
GATS8se,1.8319716695111556
MATS1dv,0.3258507238398321
MATS1pe,-0.13430260179862274
MATS1se,-0.13801529173571297
MATS2dv,0.09403302951214136
MATS2pe,-0.045291497896783536
MATS2se,-0.05404548109652754
MATS3dv,0.015910652352420313
MATS3pe,0.05040438625815484
MATS3se,0.08858810668725896
MATS4dv,-0.0525182698150434
MATS4pe,-0.02680270802643734
MATS4se,-0.015394744645765825
MATS5dv,-0.06681742543840935
MATS5pe,0.016263623871736646
MATS5se,-0.0016514004659789808
MATS6dv,-0.1596620727908862
MATS6pe,-0.02191453767296687
MATS6se,0.005526203922997411
MATS7dv,-0.11372022313287619
MATS7pe,0.038908181066651754
MATS7se,0.03577081140239866
MATS8dv,-0.21463467411114304
MATS8pe,-0.26806780057004176
MATS8se,-0.2604958982459747
MAXaaCH,2.184197845804989
MAXaasC,1.3740674603174605
MAXsCH3,2.162350560594608
MAXsssN,2.387577475434618
MDEC-12,1.9477327181665274
MDEC-13,1.9488175056291732
MDEC-22,8.344246029174005
MDEC-23,22.082218386260006
MDEC-33,12.94860914777125
MDEO-11,0.33333333333333337
MINaaCH,1.589124858276644
MINaasC,-0.03799343348450468
MINsCH3,2.162350560594608
MINsssN,2.387577475434618
NddssSe,0
NssGeH2,0
NssPbH2,0
NssSiH2,0
NssSnH2,0
NsssGeH,0
NsssPbH,0
NsssSiH,0
NsssSnH,0
NsssdAs,0
NssssBe,0
NssssGe,0
NssssPb,0
NssssSi,0
NssssSn,0
NsssssP,0
SddssSe,0
SssGeH2,0
SssPbH2,0
SssSiH2,0
SssSnH2,0
SsssGeH,0
SsssPbH,0
SsssSiH,0
SsssSnH,0
SsssdAs,0
SssssBe,0
SssssGe,0
SssssPb,0
SssssSi,0
SssssSn,0
SsssssP,0
TopoPSA,43.7
TpiPC10,8.880470355158169
VAdjMat,5.523561956057013
Xch-3dv,0.0
Xch-4dv,0.0
Xch-5dv,0.0
Xch-6dv,0.10267997392195431
Xch-7dv,0.24296647487447978
Xpc-4dv,1.9669593003122727
Xpc-5dv,3.01906051349947
Xpc-6dv,4.766462240301512
Zagreb1,116.0
Zagreb2,145.0
fragCpx,109.04
n10Ring,0
n11Ring,0
n12Ring,0
n3ARing,0
n3HRing,0
n3aRing,0
n4ARing,0
n4FRing,0
n4HRing,0
n4aRing,0
n5ARing,0
n5FRing,0
n5HRing,0
n5aRing,0
n6ARing,2
n6FRing,0
n6HRing,1
n6aRing,2
n7ARing,0
n7FRing,0
n7HRing,0
n7aRing,0
n8ARing,0
n8FRing,0
n8HRing,0
n8aRing,0
n9ARing,0
n9FRing,0
n9HRing,0
n9aRing,0
nAHRing,1
nBondsA,12
nBondsD,0
nBondsM,12
nBondsO,23
nBondsS,29
nBondsT,0
nFARing,1
nFHRing,1
nFaRing,0
nHetero,4
naHRing,0
AATS0are,6.03343076923077
AATS1are,6.2719756097560975
AATS2are,6.1209718309859165
AATS3are,6.051540816326531
AATS4are,5.8838793103448275
AATS5are,5.782367521367521
AATS6are,5.8654222222222225
AATS7are,5.775057971014491
AATS8are,5.8365238095238094
AATSC0dv,3.4242092190810136
AATSC0pe,0.1051664694280078
AATSC0se,0.07196688888888887
AATSC1dv,1.1157810526165746
AATSC1pe,-0.014124130466156763
AATSC1se,-0.009932531165311637
AATSC2dv,0.3219887665535915
AATSC2pe,-0.004763146928910765
AATSC2se,-0.003889485133020341
AATSC3dv,0.05448140246675065
AATSC3pe,0.005300851346455737
AATSC3se,0.006375410430838998
AATSC4dv,-0.17983354367085572
AATSC4pe,-0.0028187461742501417
AATSC4se,-0.001107911877394646
AATSC5dv,-0.22879684418145954
AATSC5pe,0.0017103879026956095
AATSC5se,-0.00011884615384616861
AATSC6dv,-0.5467163415881364
AATSC6pe,-0.002304674556212996
AATSC6se,0.0003977037037036964
AATSC7dv,-0.3894018364475446
AATSC7pe,0.004091836034645423
AATSC7se,0.0025743140096618237
AATSC8dv,-0.7349540298258249
AATSC8pe,-0.02819174415328259
AATSC8se,-0.018747079365079362
ATSC0are,3.8935435897435897
ATSC1are,-0.48949967126890276
ATSC2are,-0.4166870479947408
ATSC3are,0.7088238001314924
ATSC4are,-0.2907758053911895
ATSC5are,0.0395641025641034
ATSC6are,-0.0908954635108476
ATSC7are,0.2997100591715981
ATSC8are,-1.2870059171597628
BalabanJ,1.3224991392255735e-06
Diameter,100000000
GATS1are,0.9642629942271291
GATS2are,0.8025054988663525
GATS3are,0.7296058141738703
GATS4are,0.8186240123927753
GATS5are,0.8627532847497255
GATS6are,1.0634653994361907
GATS7are,1.1507873166010236
GATS8are,2.037567922626487
HybRatio,0.29411764705882354
Lipinski,True
MATS1are,-0.1195881406723231
MATS2are,-0.058785635639714465
MATS3are,0.07244889760878002
MATS4are,-0.025108446552498467
MATS5are,0.003387154627669898
MATS6are,-0.01011624328331402
MATS7are,0.043508267953871395
MATS8are,-0.3069381131946245
MAXssCH2,1.069959372637944
MAXsssCH,0.38091931216931196
MINssCH2,0.8925462962962963
MINsssCH,0.38091931216931196
NsssssAs,0
RotRatio,0.0
SMR_VSA1,10.213054789681411
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,18.88348407499998
SMR_VSA6,13.592428388589765
SMR_VSA7,47.02218981739904
SMR_VSA8,0.0
SMR_VSA9,22.6259266499618
SsssssAs,0
VMcGowan,225.9699999999997
mZagreb2,4.222222222222221
n10ARing,0
n10FRing,0
n10HRing,0
n10aRing,0
n11ARing,0
n11FRing,0
n11HRing,0
n11aRing,0
n12ARing,0
n12FRing,0
n12HRing,0
n12aRing,0
n3AHRing,0
n3aHRing,0
n4AHRing,0
n4FARing,0
n4FHRing,0
n4FaRing,0
n4aHRing,0
n5AHRing,0
n5FARing,0
n5FHRing,0
n5FaRing,0
n5aHRing,0
n6AHRing,1
n6FARing,0
n6FHRing,0
n6FaRing,0
n6aHRing,0
n7AHRing,0
n7FARing,0
n7FHRing,0
n7FaRing,0
n7aHRing,0
n8AHRing,0
n8FARing,0
n8FHRing,0
n8FaRing,0
n8aHRing,0
n9AHRing,0
n9FARing,0
n9FHRing,0
n9FaRing,0
n9aHRing,0
nBondsKD,6
nBondsKS,35
nFAHRing,1
nFaHRing,0
nG12Ring,0
AATSC0are,0.0998344510190664
AATSC1are,-0.011939016372412263
AATSC2are,-0.005868831661897758
AATSC3are,0.007232895919709106
AATSC4are,-0.0025066879775102547
AATSC5are,0.00033815472277011455
AATSC6are,-0.0010099495945649732
AATSC7are,0.00434362404596519
AATSC8are,-0.0306429980276134
LabuteASA,129.8029400176304
PEOE_VSA1,10.213054789681411
PEOE_VSA2,4.899909730850478
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,12.407033161179976
PEOE_VSA6,24.26546827384644
PEOE_VSA7,48.2094882637788
PEOE_VSA8,18.150048726757532
PEOE_VSA9,0.0
n10AHRing,0
n10FARing,0
n10FHRing,0
n10FaRing,0
n10aHRing,0
n11AHRing,0
n11FARing,0
n11FHRing,0
n11FaRing,0
n11aHRing,0
n12AHRing,0
n12FARing,0
n12FHRing,0
n12FaRing,0
n12aHRing,0
n4FAHRing,0
n4FaHRing,0
n5FAHRing,0
n5FaHRing,0
n6FAHRing,0
n6FaHRing,0
n7FAHRing,0
n7FaHRing,0
n8FAHRing,0
n8FaHRing,0
n9FAHRing,0
n9FaHRing,0
nAromAtom,12
nAromBond,12
nG12ARing,0
nG12FRing,1
nG12HRing,0
nG12aRing,0
PEOE_VSA10,0.0
PEOE_VSA11,11.49902366656781
PEOE_VSA12,0.0
PEOE_VSA13,0.0
SlogP_VSA1,0.0
SlogP_VSA2,28.705392909121656
SlogP_VSA3,12.841643245852019
SlogP_VSA4,0.0
SlogP_VSA5,22.732195304238946
SlogP_VSA6,30.33183534230805
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
n10FAHRing,0
n10FaHRing,0
n11FAHRing,0
n11FaHRing,0
n12FAHRing,0
n12FaHRing,0
nG12AHRing,0
nG12FARing,1
nG12FHRing,1
nG12FaRing,0
nG12aHRing,0
nHeavyAtom,21
EState_VSA1,0.0
EState_VSA2,23.906056827747786
EState_VSA3,6.041840829147961
EState_VSA4,36.07675412685558
EState_VSA5,11.126902983393991
EState_VSA6,6.06636706846161
EState_VSA7,6.06636706846161
EState_VSA8,30.146682918912497
EState_VSA9,0.0
GhoseFilter,True
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
TopoPSA(NO),43.7
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,43.5
nBridgehead,0
nG12FAHRing,1
nG12FaHRing,0
EState_VSA10,10.213054789681411
FilterItLogS,-4.213179405319222
PetitjeanIndex,0.0
TopoShapeIndex,0.0
CDK Descriptors
FMFDescriptor,0.8095238095238095
MDEDescriptor,"0.0,1.9477327181665274,1.9488175056291732,0.0,8.344246029174005,22.082218386260006,0.0,12.94860914777125,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
APolDescriptor,46.80627399999999
BCUTDescriptor,"11.899999999999999,34.96885357437326,-0.35852327156164804,0.11072724245891138,2.729996384743743,11.308223169544654"
BPolDescriptor,22.077726
TPSADescriptor,43.7
ALOGPDescriptor,"2.9957000000000003,8.974218490000002,79.0715"
XLogPDescriptor,3.3689999999999998
VAdjMaDescriptor,5.523561956057013
WeightDescriptor,303.10260664
ChiPathDescriptor,"13.853006672199017,9.664703797946451,9.13756005353239,8.480303936886505,7.368037954400992,6.738098882546858,5.036909152889518,3.895745182885161,12.651807616588863,7.027584591388391,5.796320610555606,4.721080157290302,3.674353573309838,2.959411644667424,1.9301050511894966,1.2928878926431615"
ChiChainDescriptor,"0.0,0.0,0.0,0.22451341401773972,0.6180652193804875,0.0,0.0,0.0,0.10267997392195433,0.24296647487447975"
AtomCountDescriptor,39
BondCountDescriptor,23
SmallRingDescriptor,"4,2,1,2,0,0,0,4,0,0,0"
ChiClusterDescriptor,"1.4915756930523711,0.0,0.5436517128619158,0.0,0.8052744131562062,0.0,0.20963450720422658,0.0"
RuleOfFiveDescriptor,0
CarbonTypesDescriptor,"0,0,0,7,5,1,3,0,0"
ZagrebIndexDescriptor,116.0
LargestChainDescriptor,9
MannholdLogPDescriptor,2.89
WeightedPathDescriptor,"42.936243464381796,2.044583022113419,9.430630270479002,5.106801220756852,3.323829049722153"
FractionalPSADescriptor,0.14417559942631317
WienerNumbersDescriptor,"2.000000066E10,40.0"
AminoAcidCountDescriptor,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ChiPathClusterDescriptor,"4.189489443543952,7.169485437261313,11.875806906916685,1.966959300312273,3.0190605134994684,4.367541669516552"
FractionalCSP3Descriptor,0.29411764705882354
KierHallSmartsDescriptor,"0,0,0,0,0,0,1,0,3,0,0,5,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
BasicGroupCountDescriptor,1
HBondDonorCountDescriptor,2
LargestPiSystemDescriptor,14
PetitjeanNumberDescriptor,0.999000000999
AcidicGroupCountDescriptor,0
KappaShapeIndicesDescriptor,"15.879017013232515,5.893877551020408,2.396449704142012"
AromaticAtomsCountDescriptor,12
AromaticBondsCountDescriptor,12
FragmentComplexityDescriptor,1261.04
HBondAcceptorCountDescriptor,1
HybridizationRatioDescriptor,0.29411764705882354
AutocorrelationDescriptorMass,"30.621868280207153,24.162729753806463,36.826913708071594,42.933474720745096,37.65727959551716"
PetitjeanShapeIndexDescriptor,"999.000999000999,NaN"
RotatableBondsCountDescriptor,0
AutocorrelationDescriptorCharge,"0.21935076514906204,-0.08912049245230756,-0.07055327399466957,0.05838726846533116,0.007973123696443409"
EccentricConnectivityIndexDescriptor,-1244640302
AutocorrelationDescriptorPolarizability,"1627.7035643065644,2010.326886523895,3073.5689883878017,3358.0902103176563,2757.3779905629276"
